id,label
0,0.89
1,0.878
2,0.476
3,0.388
4,0.664
5,0.546
6,0.518
7,0.88
8,0.666
9,0.5
10,0.416
11,0.552
12,0.442
13,0.614
14,0.89
15,0.884
16,0.454
17,0.438
18,0.886
19,0.89
20,0.452
21,0.51
22,0.654
23,0.614
24,0.46
25,0.536
26,0.44
27,0.866
28,0.436
29,0.616
30,0.52
31,0.9
32,0.428
33,0.452
34,0.47
35,0.89
36,0.424
37,0.902
38,0.35
39,0.59
40,0.478
41,0.412
42,0.888
43,0.886
44,0.452
45,0.89
46,0.532
47,0.514
48,0.422
49,0.39
50,0.558
51,0.882
52,0.892
53,0.548
54,0.888
55,0.51
56,0.466
57,0.412
58,0.888
59,0.452
60,0.426
61,0.584
62,0.376
63,0.548
64,0.892
65,0.888
66,0.58
67,0.386
68,0.554
69,0.49
70,0.72
71,0.394
72,0.666
73,0.516
74,0.426
75,0.878
76,0.618
77,0.412
78,0.516
79,0.886
80,0.888
81,0.884
82,0.594
83,0.888
84,0.376
85,0.886
86,0.542
87,0.376
88,0.888
89,0.578
90,0.6
91,0.478
92,0.904
93,0.54
94,0.624
95,0.89
96,0.494
97,0.646
98,0.886
99,0.682
100,0.63
101,0.886
102,0.47
103,0.526
104,0.552
105,0.374
106,0.544
107,0.426
108,0.55
109,0.458
110,0.89
111,0.54
112,0.38
113,0.52
114,0.884
115,0.888
116,0.466
117,0.882
118,0.39
119,0.544
120,0.902
121,0.688
122,0.53
123,0.536
124,0.888
125,0.686
126,0.892
127,0.902
128,0.902
129,0.888
130,0.904
131,0.88
132,0.898
133,0.902
134,0.414
135,0.898
136,0.526
137,0.376
138,0.888
139,0.89
140,0.47
141,0.52
142,0.44
143,0.616
144,0.602
145,0.37
146,0.548
147,0.618
148,0.878
149,0.89
150,0.63
151,0.888
152,0.52
153,0.526
154,0.888
155,0.426
156,0.406
157,0.516
158,0.53
159,0.886
160,0.494
161,0.618
162,0.454
163,0.49
164,0.888
165,0.56
166,0.486
167,0.526
168,0.454
169,0.422
170,0.476
171,0.592
172,0.594
173,0.466
174,0.682
175,0.408
176,0.428
177,0.514
178,0.612
179,0.886
180,0.422
181,0.348
182,0.47
183,0.876
184,0.628
185,0.562
186,0.614
187,0.418
188,0.89
189,0.584
190,0.594
191,0.614
192,0.488
193,0.538
194,0.604
195,0.592
196,0.886
197,0.9
198,0.428
199,0.9
200,0.9
201,0.498
202,0.496
203,0.508
204,0.37
205,0.904
206,0.42
207,0.39
208,0.46
209,0.426
210,0.88
211,0.89
212,0.906
213,0.552
214,0.378
215,0.888
216,0.486
217,0.906
218,0.886
219,0.614
220,0.386
221,0.888
222,0.892
223,0.572
224,0.904
225,0.558
226,0.886
227,0.55
228,0.606
229,0.44
230,0.382
231,0.512
232,0.614
233,0.378
234,0.892
235,0.37
236,0.89
237,0.344
238,0.524
239,0.612
240,0.452
241,0.89
242,0.9
243,0.51
244,0.614
245,0.552
246,0.614
247,0.89
248,0.49
249,0.886
250,0.368
251,0.46
252,0.496
253,0.53
254,0.886
255,0.542
256,0.614
257,0.888
258,0.892
259,0.606
260,0.888
261,0.54
262,0.878
263,0.384
264,0.456
265,0.614
266,0.888
267,0.594
268,0.43
269,0.616
270,0.352
271,0.55
272,0.596
273,0.9
274,0.882
275,0.45
276,0.372
277,0.414
278,0.622
279,0.614
280,0.886
281,0.404
282,0.524
283,0.888
284,0.372
285,0.524
286,0.52
287,0.614
288,0.464
289,0.548
290,0.888
291,0.354
292,0.502
293,0.42
294,0.888
295,0.878
296,0.408
297,0.45
298,0.686
299,0.892
300,0.542
301,0.57
302,0.608
303,0.888
304,0.502
305,0.574
306,0.53
307,0.548
308,0.4
309,0.888
